Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
Johnny Cash,"['arkansas country', 'outlaw country']",Hurt,74,1,216533,0,0.649,0.534,0.392,0.000227,9,0.0948,-7.636,0,0.0267,90.379,4,0.163
Johnny Cash,"['arkansas country', 'outlaw country']",Ring of Fire,70,1,158426,0,0.623,0.659,0.585,0.000213,7,0.348,-8.189,1,0.0288,104.111,4,0.784
Johnny Cash,"['arkansas country', 'outlaw country']",Highwayman,69,1,182653,0,0.48,0.67,0.351,0.0176,2,0.115,-16.842,1,0.0463,101.384,4,0.45
Johnny Cash,"['arkansas country', 'outlaw country']","Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",69,1,162653,0,0.0652,0.621,0.524,0.00199,0,0.893,-15.269,1,0.0803,110.586,4,0.889
Johnny Cash,"['arkansas country', 'outlaw country']",I Walk the Line - Stereo Version,64,1,154173,0,0.97,0.596,0.194,0.162,10,0.099,-20.389,1,0.0347,114.974,4,0.746
Johnny Cash,"['arkansas country', 'outlaw country']",Girl from the North Country,65,1,220400,0,0.843,0.607,0.142,0.000197,7,0.121,-23.455,1,0.0382,118.867,4,0.305
Johnny Cash,"['arkansas country', 'outlaw country']",Jackson,64,1,165826,0,0.519,0.741,0.615,0.000344,0,0.408,-8.072,1,0.0358,128.496,4,0.799
Johnny Cash,"['arkansas country', 'outlaw country']",God's Gonna Cut You Down,63,1,158573,0,0.868,0.617,0.485,0.0000344,5,0.115,-8.227,0,0.115,82.228,4,0.845
Johnny Cash,"['arkansas country', 'outlaw country']",The Man Comes Around,63,1,266733,0,0.52,0.635,0.584,0.0951,0,0.962,-7.912,1,0.144,97.067,4,0.753
Johnny Cash,"['arkansas country', 'outlaw country']",(Ghost) Riders in the Sky,62,1,224813,0,0.355,0.572,0.668,0.0379,10,0.223,-9.382,0,0.0361,109.511,4,0.56
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",Family Tradition,67,1,242960,0,0.0238,0.66,0.523,0,4,0.142,-12.068,1,0.0608,126.342,4,0.794
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",A Country Boy Can Survive,66,1,255000,0,0.144,0.688,0.459,0,7,0.0816,-9.353,1,0.0365,75.184,4,0.493
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",Dinosaur,61,1,199666,0,0.244,0.614,0.381,0.0000412,4,0.0917,-14.628,1,0.0441,145.056,4,0.504
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",Whiskey Bent And Hell Bound,61,1,188386,0,0.213,0.726,0.711,0.00000141,7,0.326,-7.728,1,0.0414,105.034,4,0.708
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",If Heaven Ain't A Lot Like Dixie,59,1,164600,0,0.266,0.729,0.553,0,5,0.0809,-8.983,1,0.085,78.085,4,0.935
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",Weatherman,55,1,219733,0,0.152,0.7,0.386,0.000474,9,0.0878,-15.559,1,0.0311,118.637,4,0.363
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",All My Rowdy Friends (Have Settled Down),53,1,240373,0,0.23,0.711,0.542,0.0000052,0,0.28,-10.319,1,0.0287,127.002,4,0.813
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",The Conversation,52,1,232493,0,0.206,0.712,0.477,0.000308,11,0.111,-17.702,0,0.0523,90.375,4,0.901
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",All My Rowdy Friends Are Coming Over Tonight,51,1,178840,0,0.13,0.607,0.904,0,2,0.134,-7.693,1,0.0435,146.831,4,0.877
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",O.D.'d In Denver,51,1,160400,0,0.0546,0.604,0.43,0,7,0.0977,-13.575,1,0.032,68.257,4,0.644
