,Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
0,Ian McConnell,[],Better Than That,44,0,193242,0,0.57,0.669,0.401,0,5,0.124,-8.458,1,0.0288,127.914,4,0.19
1,Ian McConnell,[],Fine,39,0,145388,0,0.0442,0.475,0.897,0,9,0.0115,-6.446,1,0.0629,160.866,4,0.863
2,Ian McConnell,[],Casual,39,0,163001,0,0.0195,0.628,0.646,0,6,0.0985,-8.855,1,0.0322,147.969,4,0.822
3,Ian McConnell,[],Boyfriend,37,0,143623,0,0.00269,0.54,0.679,0,7,0.324,-9.182,1,0.029,137.98,4,0.64
4,Ian McConnell,[],I Should Be Asleep,36,0,180033,0,0.0772,0.558,0.717,0.00000269,8,0.111,-7.092,1,0.0445,184.033,4,0.84
5,Ian McConnell,[],We Wouldn't Know,36,0,160104,0,0.0704,0.517,0.807,0,6,0.182,-8.541,1,0.0578,143.875,4,0.73
6,Ian McConnell,[],Who the Hell Are You,35,0,169436,1,0.301,0.616,0.584,0,5,0.101,-10.189,1,0.0277,101.988,4,0.287
7,Ian McConnell,[],Her Heart,33,0,188127,0,0.809,0.555,0.285,0,11,0.114,-10.014,1,0.0395,75.013,4,0.0911
8,Ian McConnell,[],Burn With It,32,0,179000,0,0.657,0.762,0.446,0,8,0.138,-10.7,1,0.043,120.002,4,0.361
9,Ian McConnell,[],What I'm Doing,27,0,150241,1,0.111,0.801,0.378,0,6,0.11,-8.105,1,0.065,123.796,4,0.719
0,Rossington Collins Band,"['country rock', 'southern rock']",Don't Misunderstand Me,42,0,236200,0,0.22,0.604,0.552,0.0262,0,0.139,-9.458,1,0.0343,124.917,4,0.757
1,Rossington Collins Band,"['country rock', 'southern rock']",Prime Time,19,0,244760,0,0.0174,0.654,0.844,0.444,2,0.107,-6.998,1,0.0326,126.912,4,0.954
2,Rossington Collins Band,"['country rock', 'southern rock']",Getaway,18,0,446293,0,0.0261,0.521,0.618,0.00492,10,0.139,-9.302,1,0.0269,87.954,4,0.587
3,Rossington Collins Band,"['country rock', 'southern rock']",Tashauna,17,0,295640,0,0.694,0.479,0.308,0.000211,7,0.125,-15.62,1,0.0347,125.154,4,0.258
4,Rossington Collins Band,"['country rock', 'southern rock']",Opportunity,16,0,273773,0,0.0385,0.508,0.807,0.0381,9,0.367,-8.895,0,0.0726,136.578,4,0.681
5,Rossington Collins Band,"['country rock', 'southern rock']",Sometimes You Can Put It Out,15,0,341573,0,0.0205,0.627,0.827,0.0234,2,0.191,-10.398,1,0.071,116.716,4,0.837
6,Rossington Collins Band,"['country rock', 'southern rock']",Pine Box,13,0,181133,0,0.947,0.539,0.0518,0,11,0.377,-19.194,1,0.0416,91.962,4,0.308
7,Rossington Collins Band,"['country rock', 'southern rock']",I'm Free Today,13,0,203466,0,0.796,0.571,0.361,0,2,0.0391,-15.588,1,0.0543,149.867,3,0.527
8,Rossington Collins Band,"['country rock', 'southern rock']",Gotta Get It Straight,13,0,283266,0,0.51,0.646,0.682,0.00193,9,0.261,-13.435,1,0.061,104.195,4,0.664
9,Rossington Collins Band,"['country rock', 'southern rock']",Fancy Ideas,12,0,277866,0,0.463,0.578,0.482,0.00174,9,0.322,-13.841,1,0.0406,90.278,4,0.72
