,Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
0,Ian Carey Project,['pop house'],Get Shaky - Radio Edit,54,1,178666,0,0.0472,0.685,0.861,0.00178,1,0.314,-4.194,1,0.0618,127.949,3,0.57
1,Ian Carey Project,['pop house'],Get Shaky,41,0,378750,0,0.00711,0.823,0.506,0.157,1,0.0216,-4.594,1,0.128,127.965,4,0.746
2,Ian Carey Project,['pop house'],Get Shaky (Vocal Mix),39,0,326532,0,0.0322,0.733,0.796,0.0331,1,0.31,-6.172,1,0.0694,127.956,4,0.665
3,Ian Carey Project,['pop house'],Get Shaky - Ian Carey TV Edit,29,0,378750,0,0.00806,0.854,0.507,0.425,1,0.0195,-4.709,1,0.108,127.974,4,0.743
4,Ian Carey Project,['pop house'],Get Shaky (Vandalism Mix),13,0,310406,0,0.00273,0.793,0.808,0.192,3,0.0591,-3.757,0,0.0545,128.015,4,0.731
5,Ian Carey Project,['pop house'],Get Shaky - Ian Carey Alternate Mix,8,0,382500,0,0.000569,0.732,0.63,0.0127,6,0.0558,-3.678,1,0.0586,127.994,4,0.681
6,Ian Carey Project,['pop house'],Get Shaky - Stonebridge Remix,4,0,446250,0,0.00175,0.709,0.92,0.617,3,0.566,-5.598,0,0.0523,127.992,4,0.398
7,Ian Carey Project,['pop house'],Get Shaky - Brad Holland Remix,4,0,408000,0,0.00916,0.849,0.64,0.00224,8,0.117,-4.306,1,0.246,125.961,4,0.759
0,Lexy & K-Paul,['pop house'],Happy Zombies - Paul Kalkbrenner Remix,39,0,423531,0,0.00324,0.745,0.527,0.87,2,0.0918,-8.202,1,0.0396,128.037,4,0.466
1,Lexy & K-Paul,['pop house'],Vicious Love - Original,38,0,315311,0,0.00206,0.741,0.629,0.0324,8,0.258,-8.027,0,0.0399,132.009,4,0.659
2,Lexy & K-Paul,['pop house'],Freak - Original,38,0,332505,0,0.00614,0.792,0.725,0.801,7,0.0423,-9.18,1,0.0611,134.982,4,0.649
3,Lexy & K-Paul,['pop house'],Save The Rave,37,0,367862,0,0.0452,0.79,0.819,0.794,6,0.0772,-10.248,0,0.0627,124.002,4,0.249
4,Lexy & K-Paul,['pop house'],Killing Me,35,0,195477,0,0.471,0.684,0.551,0.00946,1,0.107,-9.284,1,0.0455,124.008,4,0.575
5,Lexy & K-Paul,['pop house'],Love Me Babe - Original,34,0,306821,0,0.00453,0.671,0.753,0.951,9,0.0906,-8.66,1,0.0497,131.002,4,0.443
6,Lexy & K-Paul,['pop house'],Let's Play - Original,34,0,307938,0,0.0018,0.707,0.903,0.159,10,0.072,-7.864,0,0.0893,132.993,4,0.859
7,Lexy & K-Paul,['pop house'],The Greatest DJ - Original,31,0,342419,0,0.000516,0.729,0.858,0.858,9,0.143,-6.755,1,0.0541,132.064,4,0.688
8,Lexy & K-Paul,['pop house'],RAVERohneENDE,30,0,239622,0,0.0551,0.718,0.696,0.000121,7,0.125,-6.204,1,0.0594,120.048,3,0.322
9,Lexy & K-Paul,['pop house'],Killing Me - Oliver Koletzki Remix,30,0,273715,0,0.0689,0.796,0.552,0.29,10,0.0631,-7.997,0,0.123,123.022,4,0.891
0,Discobitch,['pop house'],C'est Beau La Bourgeoisie - Radio Edit,40,0,208330,0,0.117,0.636,0.806,0,0,0.473,-6.246,0,0.0893,128.015,4,0.626
1,Discobitch,['pop house'],C'est Beau La Bourgeoisie - Extended Original Mix,22,0,342607,0,0.0226,0.761,0.708,0.000429,0,0.423,-6.752,0,0.0849,128,4,0.527
2,Discobitch,['pop house'],C'est Beau La Bourgeoisie,29,0,280849,0,0.0591,0.707,0.82,0.0000623,0,0.818,-6.238,0,0.127,128.994,4,0.448
3,Discobitch,['pop house'],C'est Beau La Bourgeoisie - Extended French Mix,11,0,324011,0,0.0259,0.75,0.717,0.0000508,0,0.409,-7.007,0,0.0945,127.992,4,0.64
4,Discobitch,['pop house'],C'est Beau La Bourgeoisie - Kevin Tandarsen & Uppermost Remix,17,0,380902,0,0.00739,0.722,0.712,0.00867,1,0.107,-6.915,1,0.133,128.02,4,0.188
0,Jay Frog,['pop house'],To France,51,1,130675,0,0.00371,0.693,0.791,0.0218,6,0.529,-5.932,0,0.0471,125.036,4,0.247
1,Jay Frog,['pop house'],Can't Fight the Moonlight,40,0,165853,0,0.013,0.654,0.868,0,6,0.0858,-4.038,0,0.0481,123.068,4,0.468
2,Jay Frog,['pop house'],Crush,38,0,173902,0,0.00907,0.709,0.874,0.00000626,11,0.332,-5.044,1,0.0491,122.898,4,0.41
3,Jay Frog,['pop house'],Silence - Jens O. Remix,19,0,176494,0,0.000853,0.62,0.943,0.291,4,0.367,-5.464,0,0.0508,127.983,4,0.164
4,Jay Frog,['pop house'],Losing My Religion - Jay Frog Remix,33,0,194754,0,0.013,0.713,0.916,0.00113,11,0.0677,-3.566,0,0.0406,122.012,4,0.533
5,Jay Frog,['pop house'],Your Lies,26,0,173263,0,0.138,0.754,0.819,0.0000421,11,0.261,-5.304,0,0.0582,125.942,4,0.394
