Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Here Comes The Sun - Remastered 2009,82,1,185733,0,0.0339,0.557,0.54,0.00248,9,0.179,-10.484,1,0.0347,129.171,4,0.394
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Come Together - Remastered 2009,78,1,259946,0,0.0302,0.533,0.376,0.248,9,0.0926,-11.913,0,0.0393,165.007,4,0.187
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Let It Be - Remastered 2009,77,1,243026,0,0.631,0.443,0.403,0,0,0.111,-8.339,1,0.0322,143.462,4,0.41
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Yesterday - Remastered 2009,75,1,125666,0,0.879,0.332,0.179,0,5,0.0886,-11.83,1,0.0326,96.529,4,0.315
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Hey Jude - Remastered 2015,74,1,425653,0,0.0112,0.386,0.607,0.0000138,10,0.088,-7.7,1,0.0261,147.207,4,0.532
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Twist And Shout - Remastered 2009,73,1,155226,0,0.641,0.482,0.849,0.00000774,2,0.0414,-9.198,1,0.0452,124.631,4,0.937
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Blackbird - Remastered 2009,73,1,138386,0,0.754,0.686,0.127,0.0000141,7,0.0573,-14.361,1,0.0342,93.699,4,0.372
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",In My Life - Remastered 2009,72,1,146333,0,0.449,0.688,0.435,0,9,0.113,-11.359,1,0.0323,103.239,4,0.435
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",I Want To Hold Your Hand - Remastered 2015,71,1,145746,0,0.386,0.49,0.715,0,7,0.311,-5.549,1,0.0476,130.726,4,0.866
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",Help! - Remastered 2009,71,1,139560,0,0.188,0.534,0.725,0,6,0.0994,-7.576,0,0.0332,95.003,4,0.763
Elvis Presley,"['rock-and-roll', 'rockabilly']",Can't Help Falling in Love,77,1,182360,0,0.941,0.396,0.293,0.000196,2,0.105,-14.062,1,0.0275,100.307,3,0.343
Elvis Presley,"['rock-and-roll', 'rockabilly']",Suspicious Minds,71,1,261279,0,0.0422,0.487,0.382,0.00000474,7,0.411,-10.889,1,0.0309,116.557,4,0.714
Elvis Presley,"['rock-and-roll', 'rockabilly']",Jailhouse Rock,66,1,146933,0,0.332,0.623,0.537,0.000014,10,0.0963,-10.014,0,0.0726,166.885,4,0.905
Elvis Presley,"['rock-and-roll', 'rockabilly']",Burning Love,68,1,170293,0,0.0993,0.66,0.748,0.00585,2,0.283,-11.206,1,0.0284,143.549,4,0.972
Elvis Presley,"['rock-and-roll', 'rockabilly']",Hound Dog,67,1,136026,0,0.733,0.494,0.756,0.00505,0,0.76,-8.492,1,0.0499,86.895,4,0.949
