,Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
0,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']","""45""",51,1,202493,0,0.000696,0.315,0.97,0,8,0.277,-4.709,1,0.102,178.068,4,0.423
1,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",The '59 Sound,51,1,189986,0,0.0012,0.423,0.943,0.00000508,10,0.263,-3.962,1,0.0917,168.022,4,0.406
2,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",Great Expectations,47,0,185133,0,0.00395,0.546,0.936,0,10,0.347,-4.321,1,0.0657,123.972,4,0.523
3,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",Get Hurt,46,0,223360,0,0.0598,0.526,0.688,0.00322,0,0.0819,-6.483,1,0.0311,162.068,4,0.503
4,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",American Slang,46,0,221253,0,0.000243,0.56,0.821,0.00457,0,0.144,-3.046,1,0.0325,131.95,4,0.742
5,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",Old White Lincoln,45,0,203373,0,0.000626,0.468,0.878,0,0,0.746,-4.669,1,0.0502,167.991,4,0.806
6,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",Blue Jeans & White T-Shirts,44,0,208253,0,0.726,0.479,0.467,0,5,0.162,-7.003,1,0.027,90.777,4,0.197
7,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']","Here's Lookin At You, Kid",44,0,216040,0,0.314,0.573,0.505,0.00162,11,0.148,-10.601,1,0.0281,99.873,4,0.0819
8,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",Break Your Heart,41,0,260466,0,0.943,0.661,0.228,0.00072,4,0.108,-15.351,1,0.0278,110.99,4,0.419
9,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",Handwritten,38,0,238253,0,0.000834,0.378,0.89,0.00199,10,0.247,-5.418,1,0.0526,163.727,4,0.717
0,Ritchie Blackmore's Rainbow,['hard rock'],Ariel,40,0,339666,0,0.00319,0.522,0.637,0.00223,0,0.0368,-7.864,1,0.0309,144.843,4,0.393
1,Ritchie Blackmore's Rainbow,['hard rock'],Hall Of The Mountain King,36,0,331226,0,0.00022,0.398,0.804,0.007,7,0.151,-7.408,1,0.0306,163.865,4,0.468
2,Ritchie Blackmore's Rainbow,['hard rock'],The Storm,34,0,257560,0,0.00373,0.592,0.947,0.0000502,5,0.115,-5.312,0,0.0358,96.01,4,0.626
3,Ritchie Blackmore's Rainbow,['hard rock'],Wolf To The Moon,30,0,256813,0,0.00191,0.458,0.914,0.0218,2,0.344,-6.502,0,0.0411,80.839,4,0.484
4,Ritchie Blackmore's Rainbow,['hard rock'],Black Masquerade,28,0,335826,0,0.0042,0.523,0.91,0.0517,9,0.0567,-7.497,0,0.0345,100.886,4,0.784
5,Ritchie Blackmore's Rainbow,['hard rock'],Still I'm Sad,25,0,324600,0,0.00371,0.523,0.827,0.0442,9,0.129,-9.347,1,0.0752,137.835,4,0.194
6,Ritchie Blackmore's Rainbow,['hard rock'],Waiting for a Sign,24,0,299328,0,0.0559,0.598,0.702,0.0000143,9,0.115,-5.603,0,0.0245,88.978,4,0.814
7,Ritchie Blackmore's Rainbow,['hard rock'],Hunting Humans (Insatiable),24,0,344626,0,0.00957,0.699,0.69,0.0275,4,0.106,-6.155,0,0.0367,119.895,4,0.575
8,Ritchie Blackmore's Rainbow,['hard rock'],Black Sheep of the Family,23,0,333800,0,0.00943,0.548,0.904,0.00137,4,0.115,-4.216,1,0.0484,139.942,4,0.835
9,Ritchie Blackmore's Rainbow,['hard rock'],Cold Hearted Woman,22,0,270133,0,0.169,0.605,0.851,0.00099,7,0.329,-7.309,1,0.0286,109.876,4,0.763
0,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",The Stickup (feat. Skrizzly Adams),55,1,203333,1,0.044,0.717,0.726,0.00000112,2,0.0931,-6.227,1,0.333,143.955,4,0.419
1,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",New Dress,49,0,174843,0,0.22,0.552,0.667,0,6,0.21,-5.713,1,0.0383,94.412,4,0.801
2,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Take a Sip,34,0,201885,0,0.00777,0.589,0.86,0,8,0.18,-4.3,1,0.219,159.982,4,0.878
3,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Bad Desires,45,0,140445,0,0.033,0.78,0.733,0,1,0.231,-5.958,1,0.0781,129.938,4,0.746
4,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Dance with Darkness,42,0,202879,0,0.0834,0.631,0.847,0,3,0.318,-4.782,1,0.16,141.965,4,0.704
5,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Skeletons (with Bryce Fox),38,0,183305,0,0.0359,0.804,0.643,0,6,0.0855,-6.108,1,0.059,117.963,4,0.511
6,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Flawed (feat. Skrizzly Adams),36,0,268010,1,0.173,0.674,0.714,0,8,0.389,-5.271,0,0.291,83.951,4,0.558
7,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",As I Go (feat. Skrizzly Adams),36,0,213053,1,0.218,0.667,0.559,0,1,0.462,-8.406,0,0.332,80.086,4,0.458
8,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Sell Your Soul (feat. Skrizzly Adams),33,0,292000,1,0.0458,0.783,0.839,0.00000795,10,0.365,-7.06,0,0.19,127.975,4,0.423
9,Skrizzly Adams,"['heartland rock', 'modern alternative rock']",Cave In,33,0,169545,0,0.107,0.471,0.516,0,8,0.148,-6.908,0,0.0502,125.058,3,0.465
0,Akasha,[],Window,52,1,131200,0,0.945,0.516,0.185,0.945,7,0.111,-12.656,0,0.0406,112.481,3,0.174
1,Akasha,[],Dance of Love,51,1,141176,0,0.73,0.767,0.36,0.713,0,0.194,-11.457,0,0.179,85.016,4,0.367
2,Akasha,[],Wasted Love,50,1,132307,0,0.633,0.724,0.156,0.955,7,0.135,-14.33,0,0.141,78.087,4,0.171
3,Akasha,[],Anywhere,49,0,99428,0,0.726,0.622,0.317,0.957,2,0.132,-11.78,0,0.0427,70.173,4,0.187
4,Akasha,[],Tranquil Wave,47,0,80232,0,0.882,0.58,0.267,0.882,0,0.116,-10.368,0,0.121,172.397,4,0.588
5,Akasha,[],Lost,47,0,121643,0,0.865,0.681,0.23,0.53,1,0.273,-13.735,1,0.0888,73.058,4,0.533
6,Akasha,[],Quarantine Beat,47,0,109333,0,0.916,0.477,0.56,0.704,8,0.131,-10.898,0,0.336,87.121,4,0.47
7,Akasha,[],Thoughts,47,0,88750,0,0.402,0.828,0.472,0.804,8,0.104,-10.694,1,0.123,88.109,4,0.576
8,Akasha,[],French Riviera,46,0,113142,0,0.76,0.685,0.375,0.431,7,0.155,-7.879,0,0.0515,70.024,4,0.25
9,Akasha,[],End of Winter,46,0,107294,0,0.705,0.777,0.512,0.722,2,0.1,-9.376,1,0.0651,169.96,4,0.559
0,The Movement in Codes,['rock tico'],Open Sky,23,0,210028,0,0.162,0.562,0.953,0.00000106,7,0.161,-2.673,0,0.0707,136.953,4,0.628
1,The Movement in Codes,['rock tico'],Trouble in Legoland,9,0,330026,0,0.0000153,0.546,0.906,0.129,2,0.113,-5.445,0,0.0497,130.034,4,0.595
2,The Movement in Codes,['rock tico'],A Love Letter,8,0,217173,0,0.00246,0.551,0.989,0.0102,7,0.0548,-2.167,1,0.0601,137.973,4,0.606
3,The Movement in Codes,['rock tico'],Ricochet,7,0,323900,0,0.0000542,0.511,0.857,0.00555,7,0.36,-6.465,1,0.0531,143.075,4,0.581
4,The Movement in Codes,['rock tico'],Bullets,6,0,247000,0,0.0000215,0.532,0.888,0.0119,6,0.481,-6.032,0,0.0407,97.985,4,0.34
5,The Movement in Codes,['rock tico'],Shadowboxing,6,0,239300,0,0.000019,0.353,0.886,0.221,7,0.108,-4.952,1,0.11,195.861,4,0.533
6,The Movement in Codes,['rock tico'],Firefly Telepathy,5,0,307100,0,0.000027,0.445,0.91,0.00899,5,0.134,-5.885,1,0.0617,191.996,4,0.577
7,The Movement in Codes,['rock tico'],The End (Kamikaze),5,0,198173,0,0.0000174,0.464,0.948,0.103,11,0.0958,-3.968,0,0.0495,126.897,4,0.478
8,The Movement in Codes,['rock tico'],Paint Me a War,4,0,301009,0,0.0435,0.195,0.958,0.00000135,11,0.113,-3.805,0,0.188,161.662,4,0.154
9,The Movement in Codes,['rock tico'],Papercuts,4,0,277835,0,0.00135,0.223,0.981,0.0000481,7,0.315,-2.775,1,0.267,158.003,4,0.256
0,Vin Gordon,['rock steady'],Zionyouth,29,0,190880,0,0.239,0.909,0.512,0.92,5,0.0811,-14.515,0,0.0747,141.703,4,0.984
1,Vin Gordon,['rock steady'],Magnum Force,15,0,191413,0,0.257,0.539,0.741,0.00457,11,0.35,-6.829,1,0.052,181.125,4,0.941
2,Vin Gordon,['rock steady'],Lion's Horns Cut,10,0,257946,0,0.357,0.827,0.653,0.866,1,0.164,-6.665,0,0.0314,113.067,4,0.929
3,Vin Gordon,['rock steady'],Voodoo Man,10,0,219173,0,0.391,0.56,0.336,0.862,6,0.116,-17.67,0,0.0642,81.681,4,0.794
4,Vin Gordon,['rock steady'],Babylon Rock,9,0,184573,0,0.0203,0.948,0.483,0.854,4,0.096,-9.265,0,0.0789,117.954,4,0.954
5,Vin Gordon,['rock steady'],Banana Horns,8,0,280675,0,0.0286,0.858,0.543,0.868,2,0.0928,-13.394,1,0.066,133.494,4,0.898
6,Vin Gordon,['rock steady'],Licky Licky,8,0,184733,0,0.0824,0.645,0.334,0.952,1,0.106,-16.761,1,0.0791,131.651,4,0.632
7,Vin Gordon,['rock steady'],The Message,7,0,151266,0,0.206,0.738,0.362,0.89,1,0.104,-14.491,0,0.104,122.116,3,0.415
8,Vin Gordon,['rock steady'],African Thing,6,0,263226,0,0.0159,0.622,0.834,0.874,0,0.332,-5.976,1,0.0475,100.022,4,0.627
9,Vin Gordon,['rock steady'],Russian Skank,6,0,277200,0,0.847,0.89,0.664,0.959,5,0.449,-5.666,0,0.0402,98.055,4,0.834
0,Mike Ratledge,['rock keyboard'],Cantus - Song Of The Plains - Edit,12,0,238653,0,0.541,0.465,0.357,0.321,5,0.466,-15.573,1,0.0455,79.958,4,0.19
1,Mike Ratledge,['rock keyboard'],In Caelum Fero,10,0,284053,0,0.667,0.42,0.327,0.917,0,0.139,-15.273,1,0.0376,179.947,3,0.257
2,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 2,2,0,369878,0,0.995,0.11,0.0553,0.772,2,0.136,-17.917,0,0.0378,70.468,3,0.271
3,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 1,1,0,443255,0,0.995,0.153,0.203,0.918,2,0.244,-12.651,1,0.0327,145.35,4,0.0318
4,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 5,1,0,261896,0,0.828,0.259,0.229,0.913,8,0.12,-16.138,1,0.0533,124.748,5,0.0742
5,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 7,1,0,223254,0,0.952,0.266,0.0454,0.54,7,0.108,-21.851,1,0.044,72.797,1,0.539
6,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 3,1,0,396022,0,0.983,0.386,0.19,0.694,5,0.0729,-15.337,1,0.0455,83.248,4,0.112
7,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 4,1,0,404190,0,0.972,0.305,0.197,0.972,5,0.111,-24.815,1,0.18,216.541,3,0.911
8,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 10,0,0,609772,0,0.984,0.188,0.112,0.86,4,0.0841,-21.195,0,0.0388,77.221,3,0.0568
9,Mike Ratledge,['rock keyboard'],Riddles of The Sphinx Sequence 9,0,0,107268,0,0.83,0.531,0.378,0.971,5,0.112,-24.648,1,0.0785,218.066,3,0.969
0,The Termites,['rock steady'],Love up Kiss Up,14,0,138553,0,0.586,0.636,0.525,0.00123,7,0.104,-7.373,1,0.197,90.9,4,0.873
1,The Termites,['rock steady'],We Gonna Make It,11,0,146409,0,0.608,0.722,0.57,0,0,0.0445,-5.559,1,0.0438,99.506,4,0.942
2,The Termites,['rock steady'],I Can't Stand It - Extended Mix,9,0,408866,0,0.108,0.776,0.459,0.000119,8,0.114,-13.923,1,0.0755,78.853,4,0.62
3,The Termites,['rock steady'],My Last Love,4,0,206506,0,0.5,0.551,0.499,0.0355,5,0.257,-8.604,0,0.19,166.288,4,0.584
4,The Termites,['rock steady'],Love Up Kiss Up,6,0,142360,0,0.384,0.695,0.417,0.0119,7,0.134,-9.829,1,0.164,91.284,4,0.64
5,The Termites,['rock steady'],Breaking Up (Is Hard to Do) [with Tommy McCook & The Supersonics],2,0,189066,0,0.623,0.682,0.436,0.000102,11,0.0976,-10.712,1,0.0754,76.141,4,0.85
6,The Termites,['rock steady'],Devil Call,1,0,214053,0,0.0419,0.474,0.708,0.00000316,2,0.128,-11.439,1,0.053,140.514,4,0.365
7,The Termites,['rock steady'],Do the Rock Steady,2,0,239000,0,0.904,0.783,0.394,0.0678,7,0.0998,-11.037,1,0.138,90.444,4,0.582
8,The Termites,['rock steady'],Who's That Chick,2,0,178840,1,0.000625,0.373,0.917,0,4,0.0965,-8.345,0,0.0572,142.414,4,0.73
9,The Termites,['rock steady'],Attractive Girl,2,0,134217,0,0.588,0.67,0.297,0.735,11,0.0468,-16.829,0,0.305,172.907,4,0.952
0,Sangre Avandaro,['rock urbano mexicano'],Déjalo,35,0,301680,0,0.000804,0.466,0.859,0.0000558,9,0.0957,-6.043,0,0.0344,143.917,4,0.388
1,Sangre Avandaro,['rock urbano mexicano'],Con el Esqueleto Profundo,31,0,261920,0,0.0393,0.5,0.838,0.00000283,4,0.107,-5.775,1,0.0339,142.017,4,0.349
2,Sangre Avandaro,['rock urbano mexicano'],El Se Largó,26,0,306680,0,0.000345,0.243,0.953,0.00000468,11,0.147,-4.864,0,0.0972,78.147,4,0.374
3,Sangre Avandaro,['rock urbano mexicano'],Ella Ya Murió,26,0,343720,0,0.0023,0.18,0.874,0.03,2,0.101,-5.89,0,0.0563,92.542,4,0.111
4,Sangre Avandaro,['rock urbano mexicano'],Déjame Verte Sonreir,24,0,315453,0,0.288,0.497,0.657,0.476,7,0.171,-8.331,1,0.0301,124.909,4,0.205
5,Sangre Avandaro,['rock urbano mexicano'],Políticos Huevones,19,0,197826,0,0.00078,0.473,0.875,0.00000971,4,0.0611,-5.029,0,0.0406,77.487,4,0.507
6,Sangre Avandaro,['rock urbano mexicano'],Una Experiencia Más,18,0,384106,0,0.205,0.409,0.924,0.063,9,0.0992,-7.505,0,0.0848,77.54,4,0.294
7,Sangre Avandaro,['rock urbano mexicano'],Una Mujer,17,0,308243,0,0.0572,0.422,0.622,0.00000119,7,0.222,-10.659,1,0.0326,139.962,4,0.757
8,Sangre Avandaro,['rock urbano mexicano'],Con Tu Mirada,17,0,316880,0,0.668,0.513,0.383,0.406,2,0.109,-10.878,1,0.0305,109.927,4,0.143
9,Sangre Avandaro,['rock urbano mexicano'],El Gusano,15,0,257333,0,0.00998,0.48,0.816,0.00404,9,0.0815,-7.508,1,0.061,178.284,4,0.456
0,Curtis Gordon,"['rockabilly', 'traditional rockabilly']",I'm Sitting on Top of the World,4,0,114240,0,0.812,0.74,0.456,0.0000736,2,0.0775,-16.389,1,0.0423,105.967,4,0.922
1,Curtis Gordon,"['rockabilly', 'traditional rockabilly']",From Memphis to New Orleans,1,0,125253,0,0.741,0.583,0.586,0.0327,9,0.113,-7.345,1,0.0319,77.721,4,0.917
2,Curtis Gordon,"['rockabilly', 'traditional rockabilly']",Greatest Love,0,0,289014,0,0.0847,0.806,0.474,0.00000274,10,0.151,-7.784,0,0.247,141.995,4,0.518
0,Pasos Sin Rumbo,['rock urbano mexicano'],Y Ahora Resulta,22,0,246613,0,0.133,0.402,0.953,0,7,0.31,-2.195,1,0.0646,150.477,4,0.747
1,Pasos Sin Rumbo,['rock urbano mexicano'],Te Voy a Olvidar,15,0,318110,0,0.0387,0.296,0.948,0.0000226,9,0.216,-2.802,0,0.118,146.365,4,0.338
2,Pasos Sin Rumbo,['rock urbano mexicano'],Quien,11,0,311563,0,0.117,0.28,0.924,0.0000149,7,0.187,-2.372,1,0.0517,130.889,4,0.553
3,Pasos Sin Rumbo,['rock urbano mexicano'],El Loco,10,0,297870,0,0.134,0.278,0.935,0,9,0.0906,-2.115,1,0.098,153.735,4,0.672
4,Pasos Sin Rumbo,['rock urbano mexicano'],Antes de Que Digas Adios,9,0,251866,0,0.0873,0.359,0.952,0.00000292,7,0.107,-3.256,1,0.0814,155.725,4,0.553
5,Pasos Sin Rumbo,['rock urbano mexicano'],El Truhan,9,0,299123,0,0.219,0.374,0.978,0,7,0.0946,-2.363,1,0.0548,145.252,4,0.601
6,Pasos Sin Rumbo,['rock urbano mexicano'],96º de Alcohol,8,0,264190,0,0.00323,0.331,0.928,0.0116,2,0.676,-6.051,1,0.167,82.995,4,0.293
7,Pasos Sin Rumbo,['rock urbano mexicano'],La Sombra,8,0,299350,0,0.104,0.316,0.947,0.000642,7,0.154,-3.128,1,0.0782,150.661,4,0.595
8,Pasos Sin Rumbo,['rock urbano mexicano'],Ebrio de Amor,7,0,297786,0,0.0152,0.348,0.953,0.0000262,7,0.0789,-3.675,1,0.051,153.781,4,0.63
9,Pasos Sin Rumbo,['rock urbano mexicano'],Dos de Noviembre,7,0,436323,0,0.24,0.242,0.789,0.000283,0,0.695,-6.051,1,0.16,169.074,4,0.272
0,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",One,33,0,266413,0,0.0018,0.528,0.879,0.000111,9,0.209,-5.343,1,0.0545,90.062,3,0.553
1,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Now Comes the Rain,27,0,254879,0,0.00788,0.542,0.783,0.00539,10,0.077,-6.714,0,0.0302,88.499,4,0.541
2,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",The Apparition,26,0,350973,0,0.0181,0.217,0.92,0,5,0.301,-5.882,0,0.0685,85.708,4,0.447
3,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Scars,23,0,304932,0,0.00211,0.547,0.922,0.0275,4,0.112,-6.352,1,0.0986,121.978,4,0.31
4,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Seven Stars,24,0,333573,0,0.0000486,0.462,0.953,0.00000529,2,0.216,-5.287,0,0.065,126.005,4,0.507
5,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",The Destination Onward,23,0,492485,0,0.00295,0.481,0.754,0.342,9,0.0842,-8.726,1,0.0601,139.97,4,0.0461
6,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Eye to Eye,23,0,245440,0,0.0841,0.533,0.725,0,1,0.231,-9.128,0,0.0327,115.147,4,0.451
7,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Shuttered World,22,0,313919,0,0.0000317,0.553,0.921,0.356,8,0.356,-6.087,1,0.12,117.981,4,0.21
8,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Alone We Walk,22,0,283568,0,0.0203,0.601,0.801,0.000243,1,0.105,-6.906,0,0.059,146.987,1,0.398
9,Fates Warning,"['metal', 'neo classical metal', 'progressive metal', 'us power metal']",Under the Sun,21,0,349409,0,0.141,0.355,0.53,0.000582,10,0.103,-7.957,0,0.0276,94.024,4,0.162
0,Johnnie Ray,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']",Just Walkin' in the Rain,48,0,157240,0,0.87,0.638,0.188,0,5,0.0739,-16.788,1,0.0363,97.189,4,0.693
1,Johnnie Ray,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']",Cry,46,0,181693,0,0.849,0.479,0.0952,0,0,0.657,-15.5,1,0.0274,69.784,4,0.35
