Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Wants and Needs (feat. Lil Baby),88,1,192956,1,0.0618,0.578,0.449,0.00000217,1,0.119,-6.349,1,0.286,136.006,4,0.1
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Laugh Now Cry Later (feat. Lil Durk),84,1,261492,1,0.244,0.761,0.518,0.0000347,0,0.107,-8.871,1,0.134,133.976,4,0.522
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",One Dance,84,1,173986,0,0.00776,0.792,0.625,0.0018,1,0.329,-5.609,1,0.0536,103.967,4,0.37
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",God's Plan,82,1,198973,1,0.0332,0.754,0.449,0.0000829,7,0.552,-9.211,1,0.109,77.169,4,0.357
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",What’s Next,81,1,178153,1,0.0136,0.781,0.594,0,0,0.162,-6.959,0,0.0485,129.895,4,0.0628
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Passionfruit,81,1,298940,1,0.256,0.809,0.463,0.085,11,0.109,-11.377,1,0.0396,111.98,4,0.364
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Life Is Good (feat. Drake),81,1,237735,1,0.0706,0.676,0.609,0,2,0.152,-5.831,0,0.481,142.037,4,0.508
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",POPSTAR (feat. Drake),69,1,200221,1,0.0558,0.803,0.565,0,5,0.141,-4.711,0,0.235,163.085,4,0.474
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Chicago Freestyle (feat. Giveon),79,1,220487,1,0.629,0.735,0.449,0,10,0.113,-7.507,1,0.347,122.947,4,0.0397
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Over The Top (feat. Drake),79,1,153406,1,0.0493,0.833,0.498,0,10,0.119,-5.196,0,0.117,139.928,4,0.259
Ed Sheeran,"['pop', 'uk pop']",Bad Habits,97,1,231041,0,0.0469,0.808,0.897,0.0000314,11,0.364,-3.712,0,0.0348,126.026,4,0.591
Ed Sheeran,"['pop', 'uk pop']",Perfect,86,1,263400,0,0.163,0.599,0.448,0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
Ed Sheeran,"['pop', 'uk pop']",Shape of You,85,1,233712,0,0.581,0.825,0.652,0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
Ed Sheeran,"['pop', 'uk pop']",Photograph,65,1,258986,0,0.607,0.614,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
Ed Sheeran,"['pop', 'uk pop']",Thinking out Loud,65,1,281560,0,0.474,0.781,0.445,0,2,0.184,-6.061,1,0.0295,78.998,4,0.591
Ed Sheeran,"['pop', 'uk pop']",Afterglow,82,1,185486,0,0.698,0.641,0.324,0,11,0.328,-5.851,1,0.0299,110.184,4,0.273
Ed Sheeran,"['pop', 'uk pop']",I Don't Care (with Justin Bieber),75,1,219946,0,0.0902,0.798,0.676,0,6,0.0894,-5.041,1,0.0442,101.956,4,0.843
Ed Sheeran,"['pop', 'uk pop']",Happier,81,1,207520,0,0.536,0.522,0.385,0,0,0.135,-7.355,1,0.0288,89.792,4,0.236
Ed Sheeran,"['pop', 'uk pop']",Beautiful People (feat. Khalid),75,1,197866,0,0.124,0.64,0.647,0,5,0.0801,-8.114,0,0.186,92.979,4,0.546
Ed Sheeran,"['pop', 'uk pop']",Galway Girl,78,1,170826,0,0.0735,0.624,0.876,0,9,0.327,-3.374,1,0.1,99.943,4,0.781
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",Save Your Tears (with Ariana Grande) (Remix),94,1,191013,0,0.0215,0.65,0.825,0.0000244,0,0.0936,-4.645,1,0.0325,118.091,4,0.593
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",positions,86,1,172324,1,0.468,0.737,0.802,0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",34+35,85,1,173710,1,0.237,0.83,0.585,0,0,0.248,-6.476,1,0.094,109.978,4,0.485
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",7 rings,84,1,178626,1,0.592,0.778,0.317,0,1,0.0881,-10.732,0,0.334,140.048,4,0.327
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",Stuck with U (with Justin Bieber),83,1,228482,0,0.223,0.597,0.45,0,8,0.382,-6.658,1,0.0418,178.765,3,0.537
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']","thank u, next",82,1,207320,1,0.229,0.717,0.653,0,1,0.101,-5.634,1,0.0658,106.966,4,0.412
Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",motive (with Doja Cat),80,1,167989,1,0.0681,0.789,0.742,0,10,0.166,-5.664,0,0.0652,116.965,4,0.661
